Date_reported,new_cases,cum_cases,new_death,cum_death,cum_recovered,cum_active_cases
2020-01-30,1,1,0,0,0,1
2020-01-31,0,1,0,0,0,1
2020-02-01,0,1,0,0,0,1
2020-02-02,1,2,0,0,0,2
2020-02-03,1,3,0,0,0,3
2020-02-04,0,3,0,0,0,3
2020-02-05,0,3,0,0,0,3
2020-02-06,0,3,0,0,0,3
2020-02-07,0,3,0,0,0,3
2020-02-08,0,3,0,0,0,3
2020-02-09,0,3,0,0,0,3
2020-02-10,0,3,0,0,0,3
2020-02-11,0,3,0,0,0,3
2020-02-12,0,3,0,0,0,3
2020-02-13,0,3,0,0,0,3
2020-02-14,0,3,0,0,0,3
2020-02-15,0,3,0,0,0,3
2020-02-16,0,3,0,0,3,0
2020-02-17,0,3,0,0,3,0
2020-02-18,0,3,0,0,3,0
2020-02-19,0,3,0,0,3,0
2020-02-20,0,3,0,0,3,0
2020-02-21,0,3,0,0,3,0
2020-02-22,0,3,0,0,3,0
2020-02-23,0,3,0,0,3,0
2020-02-24,0,3,0,0,3,0
2020-02-25,0,3,0,0,3,0
2020-02-26,0,3,0,0,3,0
2020-02-27,0,3,0,0,3,0
2020-02-28,0,3,0,0,3,0
2020-02-29,0,3,0,0,3,0
2020-03-01,0,3,0,0,3,0
2020-03-02,2,5,0,0,3,2
2020-03-03,0,5,0,0,3,2
2020-03-04,23,28,0,0,3,25
2020-03-05,2,30,0,0,3,27
2020-03-06,1,31,0,0,3,28
2020-03-07,3,34,0,0,3,31
2020-03-08,5,39,0,0,3,36
2020-03-09,4,43,0,0,3,40
2020-03-10,13,56,0,0,4,52
2020-03-11,6,62,1,1,4,57
2020-03-12,11,73,0,1,4,68
2020-03-13,9,82,1,2,4,76
2020-03-14,20,102,0,2,4,96
2020-03-15,11,113,0,2,13,98
2020-03-16,6,119,0,2,13,104
2020-03-17,23,142,1,3,14,125
2020-03-18,14,156,0,3,14,139
2020-03-19,38,194,1,4,15,175
2020-03-20,50,244,1,5,20,219
2020-03-21,86,330,0,5,23,302
2020-03-22,66,396,2,7,27,362
2020-03-23,103,499,3,10,27,462
2020-03-24,37,536,0,10,40,486
2020-03-25,121,657,2,12,43,602
2020-03-26,70,727,8,20,45,662
2020-03-27,160,887,0,20,73,794
2020-03-28,100,987,4,24,84,879
2020-03-29,37,1024,3,27,95,902
2020-03-30,227,1251,5,32,102,1117
2020-03-31,146,1397,3,35,123,1239
2020-04-01,601,1998,23,58,148,1792
2020-04-02,545,2543,14,72,191,2280
2020-04-03,24,2567,0,72,192,2303
2020-04-04,515,3082,14,86,229,2767
2020-04-05,506,3588,13,99,229,3260
2020-04-06,1190,4778,37,136,375,4267
2020-04-07,533,5311,14,150,421,4740
2020-04-08,605,5916,28,178,506,5232
2020-04-09,809,6725,48,226,620,5879
2020-04-10,873,7598,20,246,774,6578
2020-04-11,848,8446,42,288,969,7189
2020-04-12,759,9205,43,331,1080,7794
2020-04-13,1248,10453,27,358,1181,8914
2020-04-14,1034,11487,35,393,1359,9735
2020-04-15,835,12322,12,405,1432,10485
2020-04-16,1108,13430,43,448,1768,11214
2020-04-17,922,14352,38,486,2041,11825
2020-04-18,1370,15722,35,521,2463,12738
2020-04-19,1893,17615,38,559,2854,14202
2020-04-20,924,18539,33,592,3273,14674
2020-04-21,1541,20080,53,645,3975,15460
2020-04-22,1290,21370,36,681,4370,16319
2020-04-23,1707,23077,40,721,5012,17344
2020-04-24,1453,24530,59,780,5498,18252
2020-04-25,1753,26283,45,825,5939,19519
2020-04-26,1607,27890,56,881,6523,20486
2020-04-27,1561,29451,58,939,7137,21375
2020-04-28,1873,31324,69,1008,7747,22569
2020-04-29,1738,33062,71,1079,8437,23546
2020-04-30,1801,34863,75,1154,9068,24641
2020-05-01,2394,37257,69,1223,10007,26027
2020-05-02,2442,39699,100,1323,10819,27557
2020-05-03,2806,42505,68,1391,11775,29339
2020-05-04,3932,46437,175,1566,12847,32024
2020-05-05,2963,49400,127,1693,14142,33565
2020-05-06,3587,52987,92,1785,15331,35871
2020-05-07,3364,56351,104,1889,16776,37686
2020-05-08,3344,59695,96,1985,17887,39823
2020-05-09,3113,62808,116,2101,19301,41406
2020-05-10,4353,67161,111,2212,20969,43980
2020-05-11,3607,70768,82,2294,22549,45925
2020-05-12,3524,74292,121,2415,24420,47457
2020-05-13,3763,78055,136,2551,26400,49104
2020-05-14,3942,81997,98,2649,27969,51379
2020-05-15,3787,85784,104,2753,30258,52773
2020-05-16,4864,90648,118,2871,34224,53553
2020-05-17,5050,95698,154,3025,36795,55878
2020-05-18,4630,100328,131,3156,39233,57939
2020-05-19,6147,106475,146,3302,42309,60864
2020-05-20,5553,112028,132,3434,45422,63172
2020-05-21,6198,118226,150,3584,48553,66089
2020-05-22,6568,124794,142,3726,51824,69244
2020-05-23,6629,131423,142,3868,54385,73170
2020-05-24,7113,138536,156,4024,57692,76820
2020-05-25,6414,144950,148,4172,60706,80072
2020-05-26,5843,150793,172,4344,64277,82172
2020-05-27,7293,158086,190,4534,67749,85803
2020-05-28,7300,165386,177,4711,70920,89755
2020-05-29,8105,173491,269,4980,82627,85884
2020-05-30,8336,181827,205,5185,86936,89706
2020-05-31,8782,190609,223,5408,91852,93349
2020-06-01,7761,198370,200,5608,95754,97008
2020-06-02,8821,207191,221,5829,100285,101077
2020-06-03,9633,216824,259,6088,104071,106665
2020-06-04,9889,226713,275,6363,108450,111900
2020-06-05,9471,236184,286,6649,113233,116302
2020-06-06,10438,246622,297,6946,118695,120981
2020-06-07,10864,257486,261,7207,123848,126431
2020-06-08,8442,265928,266,7473,129095,129360
2020-06-09,10218,276146,277,7750,134670,133726
2020-06-10,10459,286605,352,8102,135206,143297
2020-06-11,10930,297535,396,8498,147195,141842
2020-06-12,11458,308993,386,8884,154330,145779
2020-06-13,11929,320922,311,9195,162379,149348
2020-06-14,11502,332424,325,9520,169798,153106
2020-06-15,10667,343091,380,9900,180013,153178
2020-06-16,10974,354065,2003,11903,186935,155227
2020-06-17,12881,366946,334,12237,194325,160384
2020-06-18,13586,380532,336,12573,204711,163248
2020-06-19,14516,395048,375,12948,213831,168269
2020-06-20,15403,410451,306,13254,227728,169469
2020-06-21,14831,425282,445,13699,237196,174387
2020-06-22,14933,440215,312,14011,248190,178014
2020-06-23,15968,456183,465,14476,258685,183022
2020-06-24,16922,473105,418,14894,271697,186514
2020-06-25,17296,490401,407,15301,285637,189463
2020-06-26,18552,508953,384,15685,295881,197387
2020-06-27,19906,528859,410,16095,309713,203051
2020-06-28,19459,548318,380,16475,321723,210120
2020-06-29,18522,566840,418,16893,334822,215125
2020-06-30,18641,585481,507,17400,347912,220169
2020-07-01,19160,604641,434,17834,359860,226947
2020-07-02,20903,625544,379,18213,379892,227439
2020-07-03,22771,648315,442,18655,394227,235433
2020-07-04,24850,673165,613,19268,409083,244814
2020-07-05,24248,697413,425,19693,424433,253287
2020-07-06,22251,719664,466,20159,439934,259571
2020-07-07,22753,742417,483,20642,456831,264944
2020-07-08,24879,767296,487,21129,476378,269789
2020-07-09,26506,793802,475,21604,495513,276685
2020-07-10,27114,820916,519,22123,515386,283407
2020-07-11,28606,849522,550,22673,534618,292231
2020-07-12,28732,878254,501,23174,553471,301609
2020-07-13,28498,906752,553,23727,571460,311565
2020-07-14,29429,936181,582,24309,592032,319840
2020-07-15,32676,968857,605,24914,612768,331175
2020-07-16,34975,1003832,688,25602,635757,342473
2020-07-17,35252,1039084,671,26273,653751,359060
2020-07-18,38697,1077781,543,26816,677423,373542
2020-07-19,40425,1118206,681,27497,700087,390622
2020-07-20,37132,1155338,585,28082,724578,402678
2020-07-21,37740,1193078,650,28732,753050,411296
2020-07-22,45720,1238798,1129,29861,782607,426330
2020-07-23,49310,1288108,740,30601,817209,440298
2020-07-24,48916,1337024,757,31358,849432,456234
2020-07-25,48611,1385635,702,32060,885573,468002
2020-07-26,49981,1435616,711,32771,917568,485277
2020-07-27,44457,1480073,637,33408,951166,495499
2020-07-28,51596,1531669,785,34193,988029,509447
2020-07-29,50294,1581963,762,34955,1019735,527273
2020-07-30,52783,1634746,763,35718,1055348,543680
2020-07-31,61242,1695988,793,36511,1094374,565103
2020-08-01,54735,1750723,853,37364,1145629,567730
2020-08-02,52972,1803695,771,38135,1186203,579357
2020-08-03,52050,1855745,803,38938,1230509,586298
2020-08-04,52509,1908254,857,39795,1282215,586244
2020-08-05,56282,1964536,904,40699,1328336,595501
2020-08-06,62538,2027074,886,41585,1378105,607384
2020-08-07,61537,2088611,933,42518,1427005,619088
2020-08-08,64399,2153010,861,43379,1480884,628747
2020-08-09,62064,2215074,1007,44386,1535743,634945
2020-08-10,53601,2268675,871,45257,1583489,639929
2020-08-11,60963,2329638,834,46091,1639599,643948
2020-08-12,66999,2396637,942,47033,1695982,653622
2020-08-13,64553,2461190,1007,48040,1751555,661595
2020-08-14,64732,2525922,996,49036,1808936,667950
2020-08-15,64030,2589952,944,49980,1862258,677714
2020-08-16,57711,2647663,941,50921,1919842,676900
2020-08-17,55018,2702681,876,51797,1977671,673213
2020-08-18,64572,2767253,1091,52888,2037816,676549
2020-08-19,69672,2836925,978,53866,2096664,686395
2020-08-20,68900,2905825,983,54849,2158946,692030
2020-08-21,69876,2975701,945,55794,2222577,697330
2020-08-22,69239,3044940,912,56706,2280566,707668
2020-08-23,61408,3106348,836,57542,2338035,710771
2020-08-24,60975,3167323,848,58390,2404585,704348
2020-08-25,57224,3224547,967,59357,2458339,706851
2020-08-26,85687,3310234,1115,60472,2523771,725991
2020-08-27,77266,3387500,1057,61529,2583948,742023
2020-08-28,76472,3463972,1021,62550,2648998,752424
2020-08-29,78761,3542733,948,63498,2713933,765302
2020-08-30,78512,3621245,971,64469,2774801,781975
2020-08-31,69921,3691166,819,65288,2839882,785996
2020-09-01,78357,3769523,1045,66333,2901908,801282
2020-09-02,83883,3853406,1043,67376,2970492,815538
2020-09-03,83341,3936747,1096,68472,3037151,831124
2020-09-04,86432,4023179,1089,69561,3107223,846395
2020-09-05,90632,4113811,1065,70626,3180865,862320
2020-09-06,90802,4204613,1016,71642,3250429,882542
2020-09-07,75809,4280422,1133,72775,3323950,883697
2020-09-08,89706,4370128,1115,73890,3398844,897394
2020-09-09,95735,4465863,1172,75062,3471783,919018
2020-09-10,96551,4562414,1209,76271,3542663,943480
2020-09-11,97570,4659984,1201,77472,3624196,958316
2020-09-12,94372,4754356,1114,78586,3702595,973175
2020-09-13,92071,4846427,1136,79722,3780107,986598
2020-09-14,83809,4930236,1054,80776,3859399,990061
2020-09-15,90123,5020359,1290,82066,3942360,995933
2020-09-16,97894,5118253,1132,83198,4025079,1009976
2020-09-17,96424,5214677,1174,84372,4112551,1017754
2020-09-18,93337,5308014,1247,85619,4208431,1013964
2020-09-19,92605,5400619,1133,86752,4303043,1010824
2020-09-20,86961,5487580,1130,87882,4396399,1003299
2020-09-21,75083,5562663,1053,88935,4497867,975861
2020-09-22,83347,5646010,1085,90020,4587613,968377
2020-09-23,86508,5732518,1129,91149,4674987,966382
2020-09-24,86052,5818570,1141,92290,4756164,970116
2020-09-25,85362,5903932,1089,93379,4849584,960969
2020-09-26,88600,5992532,1124,94503,4941627,956402
2020-09-27,82170,6074702,1039,95542,5016520,962640
2020-09-28,70589,6145291,776,96318,5101397,947576
2020-09-29,80472,6225763,1179,97497,5187825,940441
2020-09-30,86821,6312584,1181,98678,5273201,940705
2020-10-01,81484,6394068,1095,99773,5352078,942217
2020-10-02,79476,6473544,1069,100842,5427706,944996
2020-10-03,75829,6549373,940,101782,5509966,937625
2020-10-04,74442,6623815,903,102685,5586703,934427
2020-10-05,61267,6685082,884,103569,5662490,919023
2020-10-06,72049,6757131,986,104555,5744693,907883
2020-10-07,78524,6835655,971,105526,5827704,902425
2020-10-08,70496,6906151,964,106490,5906069,893592
2020-10-09,73272,6979423,926,107416,5988822,883185
2020-10-10,74383,7053806,918,108334,6077976,867496
2020-10-11,66732,7120538,816,109150,6149535,861853
2020-10-12,55342,7175880,706,109856,6227295,838729
2020-10-13,63509,7239389,730,110586,6301927,826876
2020-10-14,67708,7307097,680,111266,6383441,812390
2020-10-15,63371,7370468,895,112161,6453779,804528
2020-10-16,62212,7432680,837,112998,6524595,795087
2020-10-17,61871,7494551,1033,114031,6597209,783311
2020-10-18,55722,7550273,579,114610,6663608,772055
2020-10-19,46790,7597063,587,115197,6733328,748538
2020-10-20,54044,7651107,717,115914,6795103,740090
2020-10-21,55839,7706946,702,116616,6874518,715812
2020-10-22,54366,7761312,690,117306,6948497,695509
2020-10-23,53370,7814682,650,117956,7016046,680680
2020-10-24,50129,7864811,578,118534,7078123,668154
2020-10-25,45148,7909959,480,119014,7137228,653717
2020-10-26,36470,7946429,488,119502,7201070,625857
2020-10-27,43893,7990322,508,120010,7259509,610803
2020-10-28,49881,8040203,517,120527,7315989,603687
2020-10-29,48648,8088851,563,121090,7373375,594386
2020-10-30,48268,8137119,551,121641,7432829,582649
2020-10-31,46963,8184082,470,122111,7491513,570458
2020-11-01,45231,8229313,496,122607,7544798,561908
2020-11-02,38310,8267623,490,123097,7603121,541405
2020-11-03,46253,8313876,514,123611,7656478,533787
2020-11-04,50210,8364086,704,124315,7711809,527962
2020-11-05,47638,8411724,670,124985,7765966,520773
2020-11-06,50356,8462080,577,125562,7819886,516632
2020-11-07,45674,8507754,559,126121,7868968,512665
2020-11-08,45903,8553657,490,126611,7917373,509673
2020-11-09,38073,8591730,448,127059,7959406,505265
2020-11-10,44281,8636011,512,127571,8013783,494657
2020-11-11,47905,8683916,550,128121,8066501,489294
2020-11-12,44879,8728795,547,128668,8115580,484547
2020-11-13,44684,8773479,520,129188,8163572,480719
2020-11-14,41100,8814579,447,129635,8205728,479216
2020-11-15,30548,8845127,435,130070,8249579,465478
2020-11-16,29163,8874290,449,130519,8290370,453401
2020-11-17,38617,8912907,474,130993,8335109,446805
2020-11-18,45576,8958483,585,131578,8383602,443303
2020-11-19,45882,9004365,584,132162,8428409,443794
2020-11-20,46232,9050597,564,132726,8478124,439747
2020-11-21,45209,9095806,501,133227,8521617,440962
2020-11-22,44059,9139865,511,133738,8562641,443486
2020-11-23,37975,9177840,480,134218,8604955,438667
2020-11-24,44376,9222216,481,134699,8642771,444746
2020-11-25,44489,9266705,524,135223,8679138,452344
2020-11-26,43082,9309787,492,135715,8718517,455555
2020-11-27,41322,9351109,485,136200,8759969,454940
2020-11-28,41810,9392919,496,136696,8802267,453956
2020-11-29,38772,9431691,443,137139,8847600,446952
2020-11-30,31118,9462809,482,137621,8889585,435603
2020-12-01,36604,9499413,501,138122,8932647,428644
2020-12-02,35551,9534964,526,138648,8973373,422943
2020-12-03,36595,9571559,540,139188,9016289,416082
2020-12-04,36652,9608211,512,139700,9058822,409689
2020-12-05,36011,9644222,482,140182,9100792,403248
2020-12-06,32981,9677203,391,140573,9139901,396729
2020-12-07,26567,9703770,385,140958,9178946,383866
2020-12-08,32080,9735850,402,141360,9215581,378909
2020-12-09,31521,9767371,412,141772,9253306,372293
2020-12-10,29373,9796744,413,142185,9290809,363750
2020-12-11,30031,9826775,443,142628,9324328,359819
2020-12-12,30254,9857029,391,143019,9357464,356546
2020-12-13,27071,9884100,336,143355,9388159,352586
2020-12-14,22065,9906165,354,143709,9422636,339820
2020-12-15,26382,9932547,387,144096,9456449,332002
2020-12-16,24010,9956557,355,144451,9489740,322366
2020-12-17,22890,9979447,338,144789,9520827,313831
2020-12-18,25152,10004599,347,145136,9550712,308751
2020-12-19,26624,10031223,341,145477,9580402,305344
2020-12-20,24337,10055560,333,145810,9606111,303639
2020-12-21,19556,10075116,301,146111,9636487,292518
2020-12-22,23950,10099066,333,146444,9663382,289240
2020-12-23,24712,10123778,312,146756,9693173,283849
